Time, Latitude, Longitude
970, 			35.22194lon=-113.24443, 			lat=35.22194-113.24443
975, 			35.191174lon=-113.34419, 			lat=35.191174-113.34419
980, 			35.185463lon=-113.45379, 			lat=35.185463-113.45379
985, 			35.15884lon=-113.55959, 			lat=35.15884-113.55959
990, 			35.161694lon=-113.6727, 			lat=35.161694-113.6727
995, 			35.17436lon=-113.7846, 			lat=35.17436-113.7846
1000, 			35.19728lon=-113.89282, 			lat=35.19728-113.89282
1005, 			35.1?99104lon=-113.90408, 			lat=35.1?99104-113.90408
1010, 			35.20313lon=-113.93608, 			lat=35.20313-113.93608
1015, 			35.217224lon=-114.017426, 			lat=35.217224-114.017426
1020, 			35.202682lon=-114.08512, 			lat=35.202682-114.08512
1025, 			35.255993lon=-114.15707, 			lat=35.255993-114.15707
1030, 			35.32717lon=-114.20873, 			lat=35.32717-114.20873
1035, 			35.398876lon=-114.2606, 			lat=35.398876-114.2606
1040, 			35.471317lon=-114.3119, 			lat=35.471317-114.3119
1045, 			35.544163lon=-114.36227, 			lat=35.544163-114.36227
1050, 			35.61536lon=-114.41524, 			lat=35.61536-114.41524
1055, 			35.686275lon=-114.468666, 			lat=35.686275-114.468666
1060, 			35.76157lon=-114.50767, 			lat=35.76157-114.50767
1065, 			35.83039lon=-114.56158, 			lat=35.83039-114.56158
1070, 			35.892445lon=-114.623856, 			lat=35.892445-114.623856
1075, 			35.96399lon=-114.66869, 			lat=35.96399-114.66869
1080, 			36.014523lon=-114.74556, 			lat=36.014523-114.74556
1085, 			35.96934lon=-114.79574, 			lat=35.96934-114.79574
1090, 			35.937847lon=-114.87043, 			lat=35.937847-114.87043
1095, 			35.996952lon=-114.93764, 			lat=35.996952-114.93764
1100, 			36.03291lon=-115.02199, 			lat=36.03291-115.02199
1105, 			36.023804lon=-115.117256, 			lat=36.023804-115.117256
1110, 			36.06805lon=-115.18027, 			lat=36.06805-115.18027
1115, 			36.069122lon=-115.18126, 			lat=36.069122-115.18126
1120, 			36.03248lon=-115.20836, 			lat=36.03248-115.20836
1125, 			36.020348lon=-115.27882, 			lat=36.020348-115.27882
1130, 			36.029797lon=-115.331024, 			lat=36.029797-115.331024
1135, 			36.014374lon=-115.42356, 			lat=36.014374-115.42356
1140, 			36.015987lon=-115.502815, 			lat=36.015987-115.502815
1145, 			36.006207lon=-115.6049, 			lat=36.006207-115.6049
1150, 			36.036285lon=-115.70814, 			lat=36.036285-115.70814
1155, 			36.092716lon=-115.80056, 			lat=36.092716-115.80056
1160, 			36.14693lon=-115.8897, 			lat=36.14693-115.8897
1165, 			36.188156lon=-115.96205, 			lat=36.188156-115.96205
1170, 			36.208908lon=-115.98398, 			lat=36.208908-115.98398
1175, 			36.233288lon=-115.99882, 			lat=36.233288-115.99882
1180, 			36.263866lon=-116.03778, 			lat=36.263866-116.03778
1185, 			36.265484lon=-116.106544, 			lat=36.265484-116.106544
1190, 			36.289112lon=-116.17352, 			lat=36.289112-116.17352
1195, 			36.32116lon=-116.24357, 			lat=36.32116-116.24357
1200, 			36.349705lon=-116.31669, 			lat=36.349705-116.31669
